goal,target,indicator_orig,indic_id,indicator_harmonized,note_indic
Goal 1: Address the underlying causes of decline of migratory species by mainstreaming relevant conservation and sustainable use priorities across government and society,"Target 1: People are aware of the multiple values of migratory species and their habitats and migration systems, and the steps they can take to conserve them and ensure the sustainability of any use.",Levels of engagement in World Migratory Bird Day and similar events,CMS_G1.1_1,levels of engagement in world migratory bird day and similar events,NA
Goal 1: Address the underlying causes of decline of migratory species by mainstreaming relevant conservation and sustainable use priorities across government and society,"Target 1: People are aware of the multiple values of migratory species and their habitats and migration systems, and the steps they can take to conserve them and ensure the sustainability of any use.",Trends in awareness and attitudes to migratory species,CMS_G1.1_2,trends in awareness and attitudes to migratory species,for future development
Goal 1: Address the underlying causes of decline of migratory species by mainstreaming relevant conservation and sustainable use priorities across government and society,"Target 2: Multiple values of migratory species and their habitats have been integrated into international, national and local development and poverty reduction strategies and planning processes, including on livelihoods, and are being incorporated into national accounting, as appropriate, and reporting systems.",Trends in integration of migratory species values in national and sectoral policies,CMS_G1.2_3,trends in integration of migratory species values in national and sectoral policies,for future development
Goal 1: Address the underlying causes of decline of migratory species by mainstreaming relevant conservation and sustainable use priorities across government and society,"Target 3: National, regional and international governance arrangements and agreements affecting migratory species and their migration systems have improved significantly, making relevant policy, legislative and implementation processes more coherent, accountable, transparent, participatory, equitable and inclusive.",Activity status/viability of CMS Family of instruments,CMS_G1.3_4,activity status/viability of cms family of instruments,for future development
Goal 1: Address the underlying causes of decline of migratory species by mainstreaming relevant conservation and sustainable use priorities across government and society,"Target 3: National, regional and international governance arrangements and agreements affecting migratory species and their migration systems have improved significantly, making relevant policy, legislative and implementation processes more coherent, accountable, transparent, participatory, equitable and inclusive.",Other governance-related indicator on CMS implementation,CMS_G1.3_5,other governance-related indicator on cms implementation,for future development
Goal 1: Address the underlying causes of decline of migratory species by mainstreaming relevant conservation and sustainable use priorities across government and society,"Target 4: Incentives, including subsidies, harmful to migratory species, and/or their habitats are eliminated, phased out or reformed in order to minimize or avoid negative impacts, and positive incentives for the conservation of migratory species and their habitats are developed and applied, consistent with engagements under the CMS and other relevant international and regional obligations and commitments.","CMS National Report Format question, to ask about progress in implementing target 4",CMS_G1.4_6,"cms national report format question, to ask about progress in implementing target 4",for future development
Goal 2: Reduce the direct pressures on migratory species and their habitats,"Target 5: Governments, key sectors and stakeholders at all levels have taken steps to achieve or have implemented plans for sustainable production and consumption, keeping the impacts of use of natural resources, including habitats, on migratory species well within safe ecological limits to promote the favourable conservation status of migratory species and maintain the quality, integrity, resilience, and ecological connectivity of their habitats and migration routes.",Status of migratory species in trade,CMS_G2.5_7,status of migratory species in trade,NA
Goal 2: Reduce the direct pressures on migratory species and their habitats,"Target 6: Fisheries and hunting have no significant direct or indirect adverse impacts on migratory species, their habitats or their migration routes, and impacts of fisheries and hunting are within safe ecological limits.",Proportion of migratory fish stocks in safe biological limits,CMS_G2.6_8,proportion of migratory fish stocks in safe biological limits,NA
Goal 2: Reduce the direct pressures on migratory species and their habitats,"Target 7: Multiple anthropogenic pressures have been reduced to levels that are not detrimental to the conservation of migratory species or to the functioning, integrity, ecological connectivity and resilience of their habitats.",Trends in threats to migratory species (overall),CMS_G2.7_9,trends in threats to migratory species,NA
Goal 2: Reduce the direct pressures on migratory species and their habitats,"Target 7: Multiple anthropogenic pressures have been reduced to levels that are not detrimental to the conservation of migratory species or to the functioning, integrity, ecological connectivity and resilience of their habitats.",Trends in threats to migratory species (sub-indicators on specific threat types),CMS_G2.7_10,trends in threats to migratory species,NA
